"Sr. No.","State","Hon'ble Members of Parliaments","Constituency","Allocated AMOUNT ( ₹ )"
"138","Andhra Pradesh","Dr Chandra Sekhar Pemmasani","GUNTUR","159774113.11"
"139","Punjab","DR DHARAMVIRA GANDHI","PATIALA","147000000"
"140","West Bengal","Dr Jayanta Kumar Roy","JALPAIGURI(SC)","147000000"
"141","Maharashtra","DR KALGE SHIVAJI BANDAPPA","LATUR(SC)","147000000"
"142","Bihar","Dr Mohammad Jawed","KISHANGANJ","148669229.11"
"143","Uttar Pradesh","DR RAJKUMAR SANGWAN","BAGHPAT","147000000"
"144","Tamil Nadu","DR RANI SRI KUMAR","TENKASI(SC)","153060922.82"
"145","Kerala","Dr Shashi Tharoor","THIRUVANANTHAPURAM","147000000"
"146","West Bengal","Dr Sukanta Majumdar","BALURGHAT","157085364.9"
"147","Gujarat","DR. HEMANG JOSHI","VADODARA","147000000"
"148","Maharashtra","DR. HEMANT VISHNU SAVARA","PALGHAR(ST)","147000000"
"149","Maharashtra","DR. KIRSAN NAMDEO","GADCHIROLI-CHIMUR(ST)","147000000"
"150","Madhya Pradesh","DR. LATA WANKHEDE","SAGAR","147000000"
"151","Kerala","DR. M.P ABDUSSAMAD SAMADANI","PONNANI","170434031.11"
"152","Gujarat","DR. MANSUKH MANDAVIYA","PORBANDAR","147000000"
"153","Karnataka","DR. PRABHA MALLIKARJUN","DAVANAGERE","147000000"
"154","Odisha","DR. PRADEEP KUMAR PANIGRAHY","BERHAMPUR","147000000"
"155","Maharashtra","DR. PRASHANT YADAORAO PADOLE","BHANDARA-GONDIYA","159680283.39"
"156","Punjab","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","147000000"
"157","Madhya Pradesh","DR. RAJESH MISHRA","SIDHI","262724510.35"
"158","Uttar Pradesh","DR. S P SINGH","PRATAPGARH","147000000"
"159","West Bengal","DR. SHARMILA SARKAR","BARDHAMAN PURBA(SC)","147000000"
"160","Karnataka","DR.K.SUDHAKAR","CHIKBALLAPUR","147000000"
"161","Telangana","DR.MALLU RAVI","NAGARKURNOOL(SC)","147000000"
"162","Jharkhand","DULU MAHATO","DHANBAD","147000000"
"163","Tamil Nadu","DURAI VAIKO","TIRUCHIRAPPALLI","147000000"
"164","Madhya Pradesh","Durga Das Uikey","BETUL(ST)","151569502.91"
"165","Rajasthan","Dushyant Singh","JHALAWAR-BARAN","147000000"
"166","Karnataka","E. TUKARAM","BELLARY(ST)","147000000"
"167","Kerala","E.T. MOHAMMED BASHEER","MALAPPURAM","163895872.11"
"168","Telangana","EATALA RAJENDER","MALKAJGIRI","327477390.86"
"169","Tamil Nadu","ESWARASAMY K","POLLACHI","162315106.11"
"170","Madhya Pradesh","Faggan Singh Kulaste","MANDLA(ST)","151861648.41"
"171","Karnataka","G. KUMAR NAIK","RAICHUR(ST)","147000000"
"172","Maharashtra","GAIKWAD VARSHA EKNATH","MUMBAI NORTH-CENTRAL","147000000"
"173","Madhya Pradesh","Gajendra Singh Patel","KHARGONE(ST)","147000000"
"174","Rajasthan","Gajendra Singh Shekhawat","JODHPUR","147000000"
"175","Tamil Nadu","GANAPATHY RAJKUMAR P","COIMBATORE","147370490.11"
"176","Tamil Nadu","Ganesan Selvam","KANCHEEPURAM(SC)","186508749.11"
"177","Madhya Pradesh","Ganesh Singh","SATNA","147000000"
"178","Assam","GAURAV GOGOI","JORHAT","147000000"
"179","Gujarat","GENIBEN NAGAJI THAKOR","BANASKANTHA","147000000"
"180","Bihar","Giridhari Yadav","BANKA","147000000"
"181","Bihar","Giriraj Singh","BEGUSARAI","147000000"
"182","Andhra Pradesh","GM Harish Balayogi","AMALAPURAM(SC)","147000000"
"183","Telangana","GODAM NAGESH","ADILABAD(ST)","147000000"
"184","Tamil Nadu","GOPINATH K","KRISHNAGIRI","147000000"
"185","Karnataka","GOVIND MAKTHAPPA KARJOL","CHITRADURGA(SC)","147000000"
"186","Andhra Pradesh","Gumma Thanuja Rani","ARAKU(ST)","149458905.11"
"187","Punjab","GURMEET SINGH MEET HAYER","SANGRUR","147000000"
"188","Madhya Pradesh","Gyaneshwar Patil","KHANDWA","155690684.77"
"189","Karnataka","H.D. KUMARASWAMY","MANDYA","147000000"
"190","Uttar Pradesh","HARENDRA SINGH MALIK","MUZAFFARNAGAR","147000000"
"191","Gujarat","HARIBHAI PATEL","MAHESANA","147000000"
"192","Rajasthan","HARISH CHANDRA MEENA","TONK-SAWAI MADHOPUR","147000000"
"193","Delhi","Harsh Malhotra","EAST DELHI","147134131"
"194","Gujarat","Hasmukh Bhai Soma Bhai Patel","AHMEDABAD EAST","147000000"
"195","Uttar Pradesh","IMRAN MASOOD","SAHARANPUR","147000000"
"196","Sikkim","Indra Hang Subba","SIKKIM","152003923.11"
"197","Uttar Pradesh","IQRA CHOUDHARY","KAIRANA","147000000"
"198","West Bengal","ISHA KHAN CHOUDHURY","MALDAHA DAKSHIN","147000000"
"199","West Bengal","JAGADISH CHANDRA BARMA BASUNIA","COOCHBEHAR(SC)","168604641.11"
"200","Karnataka","JAGADISH SHETTAR","BELGAUM","147000000"
"201","West Bengal","Jagannath Sarkar","RANAGHAT(SC)","147000000"
"202","Uttar Pradesh","Jagdambika Pal","DOMARIYAGANJ","160643957.11"
"203","Haryana","JAI PARKASH","HISAR","147000000"
"204","Uttar Pradesh","Jai Prakash","HARDOI (SC)","147000000"
"205","Madhya Pradesh","Janardan Mishra","REWA","147000000"
"206","Gujarat","JASHUBHAI BHILUBHAI RATHVA","CHHOTA UDAIPUR(ST)","147000000"
"207","Gujarat","Jaswantsinh Sumanbhai Bhabhor","DAHOD(ST)","147000000"
"208","Bihar","JITAN RAM MANJHI","GAYA (SC)","147000000"
"209","Uttar Pradesh","JITENDRA KUMAR DOHARE","ETAWAH(SC)","188747306.26"
"210","Jammu And Kashmir","Jitendra Singh","UDHAMPUR","147000000"
"211","Uttar Pradesh","JITIN PRASADA","PILIBHIT","147000000"
"212","Jharkhand","JOBA MAJHI","SINGHBHUM(ST)","147000000"
"213","Assam","JOYANTA BASUMATARY","KOKRAJHAR (ST)","147000000"
"214","West Bengal","JUNE MALIAH","MEDINIPUR","147000000"
"215","Madhya Pradesh","JYOTIRADITYA M. SCINDIA","GUNA","147000000"
"216","Chhattisgarh","Jyotsna Charandas Mahant","KORBA","155153738.11"
"217","Tamil Nadu","K E PRAKASH","ERODE","147000000"
"218","Kerala","K RADHAKRISHNAN","ALATHUR(SC)","147000000"
"219","Tamil Nadu","K Subbarayan","TIRUPPUR","147000000"
"220","Kerala","K. C VENUGOPAL","ALAPPUZHA","147000000"
"221","Karnataka","K. RAJASHEKAR BASAVARAJ HITNAL","KOPPAL","147000000"
"222","Telangana","KADIYAM KAVYA","WARANGEL(SC)","147000000"
"223","West Bengal","Kakoli Ghosh Dastidar","BARASAT","147000000"
"224","The Dadra And Nagar Haveli And Daman And Diu","Kalaben Mohanbhai Delkar","DADRA & NAGAR HAVELI (ST)","147000000"
"225","Tamil Nadu","Kalanidhi Veeraswamy","CHENNAI NORTH","171500000"
"226","Jharkhand","KALI CHARAN MUNDA","KHUNTI(ST)","147000000"
"227","Jharkhand","KALI CHARAN SINGH","CHATRA","147000000"
"228","West Bengal","KALIPADA SAREN","JHARGRAM(ST)","147000000"
"229","West Bengal","Kalyan Banerjee","SREERAMPUR","147000000"
"230","Maharashtra","KALYAN VAIJINATHRAO KALE","JALNA","147000000"
"231","Assam","KAMAKHYA PRASAD TASA","Kaziranga","147000000"
"232","Delhi","Kamaljeet Sehrawat","WEST DELHI","147000000"
"233","Chhattisgarh","KAMLESH JANGDE","JANJGIR CHAMPA(SC)","150384382.11"
"234","Uttar Pradesh","Kamlesh Paswan","BANSGAON(SC)","147000000"
"235","Himachal Pradesh","Kangana Ranaut","MANDI","147000000"
"236","Tamil Nadu","Kani K Navas","RAMANATHAPURAM","147000000"
"237","Tamil Nadu","Kanimozhi Karunanidhi","THOOTHUKKUDI","147000000"
"238","Uttar Pradesh","KANWAR SINGH TANWAR","AMROHA","147000000"
"239","Uttar Pradesh","KARAN BHUSHAN SINGH","KAISERGANJ","147000000"
"240","West Bengal","KARTICK CHANDRA PAUL","RAIGANJ","202677986.56"
"241","Bihar","Kaushalendra Kumar","NALANDA","147000000"
"242","West Bengal","Khagen Murmu","MALDAHA UTTAR","147000000"
"243","West Bengal","Khalilur Rahaman","JANGIPUR","147000000"
"244","Andhra Pradesh","Kinjarapu Ram Mohan Naidu","SRIKAKULAM","171200630.11"
"245","Arunachal Pradesh","Kiren Rijiju","ARUNACHAL WEST","147000000"
"246","Uttar Pradesh","Kirti Vardhan Singh","GONDA","147000000"
"247","Telangana","Kishan Reddy Gangapuram","SECUNDERABAD","147000000"
"248","Uttar Pradesh","KISHORI LAL","AMETHI","171500000"
"249","Telangana","KONDA VISHWESHWAR REDDY","CHELVELLA","233721420.96"
"250","Karnataka","KOTA SRINIVAS POOJARY","UDUPI CHIKMAGALUR","147000000"
"251","Assam","Kripanath Mallah","KARIMGANJ (SC)","147000000"
"252","Haryana","Krishan Pal Gurjar","FARIDABAD","147000000"
"253","Uttar Pradesh","KRISHNA DEVI SHIVSHANKER PATEL","BANDA","147000000"
"254","Andhra Pradesh","Krishna Prasad Tenneti","BAPATLA","167796849.11"
"255","Tripura","KRITI DEVI DEBBARMAN","TRIPURA EAST(ST)","147000000"
"256","Rajasthan","KULDEEP INDORA","GANGANAGAR(SC)","147000000"
"257","Telangana","KUNDURU RAGHUVEER","NALGONDA","162952022"
"258","Uttar Pradesh","LALJI VERMA","AMBEDKAR NAGAR","147000000"
"259","Andhra Pradesh","Lavu Sri Krishna Devarayalu","NARASARAOPET","174009663.11"
"260","Uttar Pradesh","LAXMIKANT PAPPU NISHAD","SANT KABIR NAGAR","147000000"
"261","Bihar","LOVELY ANAND","SHEOHAR","147000000"
"262","Rajasthan","LUMBARAM","JALORE","147000000"
"263","Karnataka","M. MALLESH BABU","KOLAR(SC)","147065957.11"
"264","Tamil Nadu","M.K. VISHNUPRASAD","CUDDALORE","147000000"
"265","Andhra Pradesh","Maddila Gurumoorthy","TIRUPATI(SC)","180399007"
"266","Telangana","MADHAVANENI RAGHUNANDAN RAO","MEDAK","147000000"
"267","Andhra Pradesh","Magunta Sreenivasulu Reddy","ONGOLE","147000000"
"268","Madhya Pradesh","Mahendra Singh Solanky","DEWAS(SC)","147000000"
"269","Chhattisgarh","MAHESH KASHYAP","BASTAR(ST)","147000000"
"270","Uttar Pradesh","Mahesh Sharma","GAUTAM BUDDHA NAGAR","148816284.11"
"271","Rajasthan","MAHIMA KUMARI MEWAR","RAJSAMAND","183892143"
"272","Uttarakhand","Mala Rajya Laxmi Shah","TEHRI GARHWAL","147000000"
"273","West Bengal","Mala Roy","KOLKATA DAKSHIN","147000000"
"274","Tamil Nadu","MALAIYARASAN D","KALLAKURICHI","201599593"
"275","Odisha","MALVIKA DEVI","KALAHANDI","147000000"
"276","Punjab","MALVINDER SINGH KANG","ANANDPUR SAHIB","147000000"
"277","Tamil Nadu","MANI. A.","DHARAMAPURI","164515071.11"
"278","Tamil Nadu","Manickam Tagore B","VIRUDHUNAGAR","147000000"
"279","Jharkhand","MANISH JAISWAL","HAZARIBAGH","147000000"
"280","Chandigarh","MANISH TEWARI","CHANDIGARH","178351443.75"
"281","Rajasthan","MANJU SHARMA","JAIPUR","167082901.11"
"282","Rajasthan","MANNA LAL RAWAT","UDAIPUR(ST)","147000000"
"283","Haryana","MANOHAR LAL","KARNAL","147000000"
"284","Bihar","MANOJ KUMAR","SASARAM(SC)","147000000"
"285","West Bengal","MANOJ TIGGA","ALIPURDUARS(ST)","147000000"
"286","Delhi","Manoj Tiwari","NORTH EAST DELHI","225843858"
"287","Gujarat","Mansukhbhai Dhanjibhai Vasava","BHARUCH","147000000"
"288","Jammu And Kashmir","MIAN ALTAF AHMAD","ANANTNAG","147000000"
"289","Andhra Pradesh","Midhun Reddy","RAJAMPET","178951477.11"
"290","Bihar","MISHA BHARTI","PATALIPUTRA","147000000"
"291","Gujarat","Mitesh Rameshbhai Bakabhai Patel","ANAND","147000000"
"292","Ladakh","Mohamed Haneefa","LADAKH","161114542"
"293","Uttar Pradesh","MOHIBBULLAH","RAMPUR","147000000"
"294","Maharashtra","MOHITE PATIL DHAIRYASHEEL RAJSINH","MADHA","195613601.7"
"295","Bihar","Mr Gopal Jee Thakur","DARBHANGA","147000000"
"296","West Bengal","Ms Mahua Moitra","KRISHNANAGAR","159865046"
"297","Lakshadweep","MUHAMMED HAMDULLAH SAYEED","LAKSHADWEEP(ST)","153942460.41"
"298","Uttar Pradesh","Mukesh Rajput","FARRUKHABAD","147000000"
"299","Gujarat","MUKESHKUMAR CHANDRAKAANT DALAL","SURAT","147000000"
"300","Rajasthan","MURARI LAL MEENA","DAUSA(ST)","147000000"
"301","Tamil Nadu","MURASOLI S","THANJAVUR","147000000"
"302","Maharashtra","MURLIDHAR MOHOL","PUNE","147000000"
"303","Odisha","NABA CHARAN MAJHI","MAYURBHANJ (ST)","147563957.11"
"304","Jharkhand","NALIN SOREN","DUMKA(ST)","147364097.11"
"305","Uttar Pradesh","NARAYAN DAS AHIRWAR","JALAUN(SC)","147000000"
"306","Maharashtra","NARAYAN TATU RANE","RATNAGIRI-SINDHUDURG","147000000"
"307","Uttar Pradesh","NARESH CHANDRA UTTAM PATEL","FATEHPUR","147000000"
"308","Maharashtra","NARESH GANPAT MHASKE","THANE","147000000"
"309","Haryana","NAVEEN JINDAL","KURUKSHETRA","147000000"
"310","Uttar Pradesh","NEERAJ MAURYA","AONLA","147000000"
"311","Maharashtra","NILESH DNYANDEV LANKE","AHMEDNAGAR","147000000"
"312","Gujarat","NIMUBEN JAYANTIBHAI BAMBHANIYA","BHAVNAGAR","147000000"
"313","Jharkhand","Nishikant Dubey","GODDA","147000000"
"314","Maharashtra","Nitin Jairam Gadkari","NAGPUR","168195086.11"
"315","Bihar","Nityanand Rai","UJJARPUR","147000000"
"316","Rajasthan","Om Birla","KOTA","163906956.6"
"317","Maharashtra","Omprakash Bhupalsinh Alias Pawan Rajenimbalkar","OSMANABAD","184758519.11"
"318","Karnataka","P C Mohan","BANGALORE CENTRAL","159995711.11"
"319","Uttar Pradesh","Pankaj Chowdhary","MAHARAJGANJ_UP","147000000"
"320","Assam","PARIMAL SUKLABAIDYA","SILCHAR","148300157.11"
"321","Gujarat","PARSHOTTAMBHAI RUPALA","RAJKOT","147000000"
"322","West Bengal","PARTHA BHOWMICK","BARRACKPUR","147000000"
"323","Karnataka","Parvatagouda Chandanagouda Gaddigoudar","BAGALKOT","167541747.11"
"324","The Dadra And Nagar Haveli And Daman And Diu","PATEL UMESHBHAI BABUBHAI","DAMAN and DIU","245063957"
"325","West Bengal","PATHAN YUSUF","BAHARAMPUR","147000000"
"326","Assam","PHANI BHUSAN CHOUDHURY","BARPETA","147000000"
"327","Maharashtra","Piyush Vedprakash Goyal","MUMBAI NORTH","147000000"
"328","Andhra Pradesh","PRABHAKAR REDDY VEMIREDDY","NELLORE(SC)","147000000"
"329","Gujarat","Prabhubhai Nagarbhai Vasava","BARDOLI(ST)","147000000"
"330","Assam","Pradan Baruah","LAKHIMPUR","147000000"
"331","Bihar","Pradeep Kumar Singh","ARARIA","147000000"
"332","Odisha","PRADEEP PUROHIT","BARGARH","147000000"
"333","Assam","Pradyut Bordoloi","NOWGONG","98000000"
"334","Karnataka","Pralhad Venkatesh Joshi","DHARWAD","147000000"
"335","Maharashtra","PRANITI SUSHILKUMAR SHINDE","SOLAPUR(SC)","147000000"
"336","West Bengal","Prasun Banerjee","HOWRAH","147000000"
"337","Odisha","Pratap Chandra Sarangi","BALASORE","147064254.11"
"338","Maharashtra","Prataprao Jadhav","BULDHANA","147000000"
"339","West Bengal","Pratima Mondal","JOYNAGAR(SC)","147000000"
"340","Delhi","Praveen Khandelwal","CHANDINI CHOWK","147470276"
"341","Uttar Pradesh","PRAVEEN PATEL","PHULPUR","151559884.09"
"342","Uttar Pradesh","PRIYA SAROJ","MACHHLISHAHR(SC)","147000000"
"343","Kerala","Priyanka Gandhi Vadra","WAYANAD","122500000"
"344","Karnataka","PRIYANKA SATISH JARKIHOLI","CHIKKODI","147000000"
"345","West Bengal","Prof Sougata Ray","DUM DUM","147000000"
"346","Uttar Pradesh","Prof SP Singh Baghel","AGRA(SC)","147000000"
"347","Uttar Pradesh","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","147000000"
"348","Andhra Pradesh","Putta Mahesh Kumar","ELURU","147000000"
"349","Uttar Pradesh","R.K. CHAUDHARY","MOHANLALGANJ(SC)","147000000"
"350","Odisha","RABINDRA NARAYAN BEHERA","JAJPUR(SC)","147064617.11"
"351","West Bengal","RACHNA BANERJEE","HOOGHLY","147000000"
"352","Bihar","Radha Mohan Singh","PURVI CHAMPARAN","147000000"
