"Sr. No.","State","Hon'ble Members of Parliament","Elected/Nominated","Allocated AMOUNT ( ₹ )"
"43","Jharkhand","Shri Aditya Prasad (2022-28) (2022-2028)","Elected MP","227628508.2"
"44","Karnataka","Shri Ajay Makan (2024-30) (2024-2030)","Elected MP","147000000"
"45","Bihar","Shri Akhilesh Prasad Singh (2024-30) (2024-2030)","Elected MP","186200000"
"46","Uttar Pradesh","Shri Amar Pal Maurya (2024-30) (2024-2030)","Elected MP","147000000"
"47","Telangana","Shri Anil Kumar Yadav Mandadi (2024-30) (2024-2030)","Elected MP","147000000"
"48","Himachal Pradesh","Shri Anurag Sharma (2026-32) (2026-2032)","Elected MP","49000000"
"49","Uttar Pradesh","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","223492764.11"
"50","Madhya Pradesh","Shri Ashok Singh (2024-30) (2024-2030)","Elected MP","147000000"
"51","Maharashtra","Shri Ashokrao Shankarrao Chavan (2024-30) (2024-2030)","Elected MP","147000000"
"52","Odisha","Shri Ashwini Vaishnaw (2024-30) (2024-2030)","Elected MP","265563957.11"
"53","Telangana","Shri B. Parthasaradhi Reddy (2022-28) (2022-2028)","Elected MP","244365104"
"54","Uttar Pradesh","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","196063957.11"
"55","Gujarat","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","171500000"
"56","Uttar Pradesh","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","196063957.11"
"57","Jharkhand","Shri Baidyanath Ram (2026-32) (2026-2032)","Elected MP","49000000"
"58","Madhya Pradesh","Shri Balyogi Umeshnath (2024-30) (2024-2030)","Elected MP","147000000"
"59","Madhya Pradesh","Shri Banshilal Gurjar (2024-30) (2024-2030)","Elected MP","147000000"
"60","Andhra Pradesh","Shri Bhashyam Rama Krishna (2026-32) (2026-2032)","Elected MP","49000000"
"61","Assam","Shri Birendra Prasad Baishya (2025-31) (2025-2031)","Elected MP","98000000"
"62","Uttar Pradesh","Shri Brij Lal (2020-26) (2020-2026)","Elected MP","196063957.11"
"63","Kerala","Shri C. Sadanandan Master (2025-31) (2025-2031)","Nominated MP","73500000"
"64","Maharashtra","Shri Chandrakant Damodar Handore (2024-30) (2024-2030)","Elected MP","147000000"
"65","Jammu And Kashmir","Shri Chowdry Mohammad Ramzan (2025-31) (2025-2031)","Elected MP","73500000"
"66","Tamil Nadu","Shri Christopher Manickam (2026-32) (2026-2032)","Elected MP","49356476.5"
"67","Rajasthan","Shri Chunnilal Garasiya (2024-30) (2024-2030)","Elected MP","147000000"
"68","Tamil Nadu","Shri Constandine Ravindran (2026-32) (2026-2032)","Elected MP","49356476.5"
"69","Telangana","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","239919406.11"
"70","Odisha","Shri Debashish Samantaray (2026-30) (2026-2030)","Elected MP","23800006"
"71","West Bengal","Shri Derek O' Brien (2023-29) (2023-2029)","Elected MP","171500000"
"72","Chhattisgarh","Shri Devendra Pratap Singh (2024-30) (2024-2030)","Elected MP","170837637.76"
"73","Maharashtra","Shri Dhananjay Bhimrao Mahadik (2022-28) (2022-2028)","Elected MP","220383643.11"
"74","Odisha","Shri Dilip Kumar Ray (2026-32) (2026-2032)","Elected MP","49000000"
"75","Sikkim","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","150170726.11"
"76","Karnataka","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","147000000"
"77","Rajasthan","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","196063957.11"
"78","Andhra Pradesh","Shri Golla Baburao (2024-30) (2024-2030)","Elected MP","147000000"
"79","Gujarat","Shri Govindbhai Laljibhai Dholakia (2024-30) (2024-2030)","Elected MP","147000000"
"80","Jammu And Kashmir","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","196063957.11"
"81","Jammu And Kashmir","Shri Gurwinder Singh Oberoi (2025-31) (2025-2031)","Elected MP","73500000"
"82","Punjab","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","220984094.27"
"83","Uttar Pradesh","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","226801049.11"
"84","Kerala","Shri Haris Beeran (2024-30) (2024-2030)","Elected MP","122500000"
"85","Himachal Pradesh","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","147000000"
"86","West Bengal","Shri Harsh Vardhan Shringla (2025-31) (2025-2031)","Nominated MP","73500000"
"87","Tamil Nadu","Shri I.S. Inbadurai (2025-31) (2025-2031)","Elected MP","89248285.42"
"88","Tamil Nadu","Shri Ilaiyaraaja (2022-28) (2022-2028)","Nominated MP","220563957.11"
"89","Maharashtra","Shri Imran Pratapgarhi (2022-28) (2022-2028)","Elected MP","196000000"
"90","Gujarat","Shri Jagat Prakash Nadda (2024-30) (2024-2030)","Elected MP","147000000"
"91","Karnataka","Shri Jaggesh (2022-28) (2022-2028)","Elected MP","196063957.11"
"92","Karnataka","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","220563957.11"
"93","Meghalaya","Shri James Pangsang Kongkal Sangma (2026-32) (2026-2032)","Elected MP","49000000"
"94","Uttar Pradesh","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","196063957.11"
"95","Uttar Pradesh","Shri Jayant Chaudhary (2022-28) (2022-2028)","Elected MP","214074707.67000002"
"96","Assam","Shri Jogen Mohan (2026-32) (2026-2032)","Elected MP","49000000"
"97","Kerala","Shri Jose K. Mani (2024-30) (2024-2030)","Elected MP","122500000"
"98","Tamil Nadu","Shri K.R.N. Rajeshkumar (2022-28) (2022-2028)","Elected MP","238513975.53"
"99","Tamil Nadu","Shri Kamal Haasan (2025-31) (2025-2031)","Elected MP","89248285.42"
"100","Assam","Shri Kanad Purkayastha (2025-31) (2025-2031)","Elected MP","98000000"
"101","Uttar Pradesh","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","196063957.11"
"102","Haryana","Shri Karamvir Singh Singh Boudh (2026-32) (2026-2032)","Elected MP","49000000"
"103","Haryana","Shri Kartikeya Sharma (2022-28) (2022-2028)","Elected MP","196000000"
"104","Gujarat","Shri Kesridevsinh Jhala (2023-29) (2023-2029)","Elected MP","171500000"
"105","Mizoram","Shri Khiangte Laltluangkima (2026-32) (2026-2032)","Elected MP","24500000"
"106","Bihar","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","235770091.81"
"107","Tamil Nadu","Shri L. K. Sudhish (2026-32) (2026-2032)","Elected MP","49356476.5"
"108","Karnataka","Shri Lahar Singh Siroya (2022-28) (2022-2028)","Elected MP","206278088.11"
"109","Andhra Pradesh","Shri Lingamaneni Ramesh (2026-32) (2026-2032)","Elected MP","49000000"
"110","Karnataka","Shri M. Nagaraja (2026-32) (2026-2032)","Elected MP","49000000"
"111","Rajasthan","Shri Madan Rathore (2024-30) (2024-2030)","Elected MP","147000000"
"112","Uttarakhand","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","147000000"
"113","Madhya Pradesh","Shri Mahesh Kewat (2026-32) (2026-2032)","Elected MP","49000000"
"114","Karnataka","Shri Mallikarjun Kharge (2026-32) (2026-2032)","Elected MP","49063957.11"
"115","Bihar","Shri Manan Kumar Mishra (2024-28) (2024-2028)","Elected MP","235263957.11"
"116","Odisha","Shri Manas Ranjan Mangaraj (2022-28) (2022-2028)","Elected MP","196063957.11"
"117","Odisha","Shri Manmohan Samal (2026-32) (2026-2032)","Elected MP","49000000"
"118","Karnataka","Shri Mansoor Ali Khan (2026-32) (2026-2032)","Elected MP","49000000"
"119","Andhra Pradesh","Shri Masthan Rao Yadav Beedha (2024-28) (2024-2028)","Elected MP","171296045.11"
"120","Gujarat","Shri Mayankkumar Nayak (2024-30) (2024-2030)","Elected MP","147000000"
"121","Andhra Pradesh","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","147000000"
"122","Maharashtra","Shri Milind Murli Deora (2024-30) (2024-2030)","Elected MP","147000000"
"123","Uttar Pradesh","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","196063957.11"
"124","West Bengal","Shri Mohammed Nadimul Haque (2024-30) (2024-2030)","Elected MP","147000000"
"125","Rajasthan","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","196063957.11"
"126","West Bengal","Shri Nagendra Ray (2023-29) (2023-2029)","Elected MP","171500000"
"127","Delhi","Shri Narain Dass Gupta (2024-30) (2024-2030)","Elected MP","160837070"
"128","Karnataka","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","147450000"
"129","Uttarakhand","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","222043184.71"
"130","Uttar Pradesh","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","147000000"
"131","Rajasthan","Shri Neeraj Dangi (2026-32) (2026-2032)","Elected MP","49000000"
"132","Uttar Pradesh","Shri Neeraj Shekhar (2020-26) (2020-2026)","Elected MP","236483662.11"
"133","Maharashtra","Shri Nitin Laxmanrao Jadhav Patil (2024-28) (2024-2028)","Elected MP","122500000"
"134","Bihar","Shri Nitin Nabin (2026-32) (2026-2032)","Elected MP","49000000"
"135","Tamil Nadu","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","236312242.52"
"136","Kerala","Shri P. P. Suneer (2024-30) (2024-2030)","Elected MP","122500000"
"137","Tamil Nadu","Shri P. Wilson (2025-31) (2025-2031)","Elected MP","89248285.42"
"138","Assam","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","220563957.11"
"139","Andhra Pradesh","Shri Paka Venkata Satyanarayana (2025-28) (2025-2028)","Elected MP","98000000"
"140","Maharashtra","Shri Parth Ajit Pawar (2026-32) (2026-2032)","Elected MP","49000000"
"141","Karnataka","Shri Pawan Khera (2026-32) (2026-2032)","Elected MP","49000000"
"142","Jharkhand","Shri Pradip Kumar Varma (2024-30) (2024-2030)","Elected MP","178564551.09"
"143","Maharashtra","Shri Praful Patel (2024-30) (2024-2030)","Elected MP","147000000"
"144","West Bengal","Shri Prakash Chik Baraik (2026-29) (2026-2029)","Elected MP","49662892"
"145","Assam","Shri Pramod Boro (2026-32) (2026-2032)","Elected MP","49000000"
"146","Rajasthan","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","196063957.11"
"147","Tamil Nadu","Shri Praveen Chakravarthy (2026-28) (2026-2028)","Elected MP","49356476.5"
"148","Tamil Nadu","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","260812242.52"
"149","Tamil Nadu","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","236312242.52"
"150","Punjab","Shri Raghav Chadha (2022-28) (2022-2028)","Elected MP","237229207.25"
"151","West Bengal","Shri Rajeev Kumar (2026-32) (2026-2032)","Elected MP","49000000"
"152","Chhattisgarh","Shri Rajeev Shukla (2022-28) (2022-2028)","Elected MP","271174394.23"
"153","Gujarat","Shri Rajesh Parmanand Shukla (2026-32) (2026-2032)","Elected MP","49000000"
"154","Tripura","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","122500000"
"155","Punjab","Shri Rajinder Gupta (2025-28) (2025-2028)","Elected MP","49000000"
"156","Madhya Pradesh","Shri Rajneesh Kumar Agrawal (2026-32) (2026-2032)","Elected MP","49000000"
"157","Bihar","Shri Ram Nath Thakur (2026-32) (2026-2032)","Elected MP","65673638.730000004"
"158","Maharashtra","Shri Ramdas Bandu Athawale (2026-32) (2026-2032)","Elected MP","49000000"
"159","Uttar Pradesh","Shri Ramji (2020-26) (2020-2026)","Elected MP","174518577.11"
"160","Uttar Pradesh","Shri Ramji Lal Suman (2024-30) (2024-2030)","Elected MP","147000000"
"161","Maharashtra","Shri Ramrao Sakharam Wadkute (2026-32) (2026-2032)","Elected MP","49000000"
"162","Rajasthan","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","196063957.11"
"163","Uttar Pradesh","Shri Ratanjit Pratap Narain Singh (2024-30) (2024-2030)","Elected MP","147000000"
"164","Telangana","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","152732534.11"
"165","Assam","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","220563957.11"
"166","Andhra Pradesh","Shri Ryaga Krishnaiah (2024-28) (2024-2028)","Elected MP","170413583.79"
"167","Andhra Pradesh","Shri S Niranjan Reddy (2022-28) (2022-2028)","Elected MP","224621383.11"
"168","Gujarat","Shri S. Jaishankar (2023-29) (2023-2029)","Elected MP","171500000"
"169","Tamil Nadu","Shri S. Kalyanasundaram (2022-28) (2022-2028)","Elected MP","239763792.52"
"170","Puducherry","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","292881856.49"
"171","Tamil Nadu","Shri S.R. Sivalingam (2025-31) (2025-2031)","Elected MP","89248285.42"
"172","Goa","Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029)","Elected MP","171500000"
"173","Jammu And Kashmir","Shri Sajjad Ahmad Kichloo (2025-31) (2025-2031)","Elected MP","73500000"
"174","West Bengal","Shri Samik Bhattacharya (2024-30) (2024-2030)","Elected MP","147000000"
"175","West Bengal","Shri Samirul Islam (2023-29) (2023-2029)","Elected MP","171500000"
"176","Andhra Pradesh","Shri Sana Sathish Babu (2026-32) (2026-2032)","Elected MP","49063978"
"177","Kerala","Shri Sandosh Kumar P (2022-28) (2022-2028)","Elected MP","220563957.11"
"178","Haryana","Shri Sanjay Bhatia (2026-32) (2026-2032)","Elected MP","49000000"
"179","Bihar","Shri Sanjay Kumar Jha (2024-30) (2024-2030)","Elected MP","186200000"
"180","Maharashtra","Shri Sanjay Raut (2022-28) (2022-2028)","Elected MP","196063957.11"
"181","Uttar Pradesh","Shri Sanjay Seth (2024-30) (2024-2030)","Elected MP","147000000"
"182","Delhi","Shri Sanjay Singh (2024-30) (2024-2030)","Elected MP","184466426.11"
"183","Bihar","Shri Sanjay Yadav (2024-30) (2024-2030)","Elected MP","186200000"
"184","Punjab","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","196359074.44000003"
"185","Jammu And Kashmir","Shri Sat Paul Sharma (2025-31) (2025-2031)","Elected MP","73500000"
"186","Bihar","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","235263957.11"
"187","Chandigarh","Shri Satnam Singh Sandhu (2024-30) (2024-2030)","Nominated MP","147000000"
"188","Bihar","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","237168443.49"
"189","Bihar","Shri Shivesh Kumar (2026-32) (2026-2032)","Elected MP","49000000"
"190","Haryana","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","147000000"
"191","Odisha","Shri Subhasish Khuntia (2024-30) (2024-2030)","Elected MP","147000000"
"192","Odisha","Shri Sujeet Kumar (2026-32) (2026-2032)","Elected MP","49000000"
"193","Uttar Pradesh","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","220563957.11"
"194","Arunachal Pradesh","Shri Tai Tagak (2026-32) (2026-2032)","Elected MP","49000000"
"195","Madhya Pradesh","Shri Tarun Chugh (2026-32) (2026-2032)","Elected MP","49000000"
"196","Uttar Pradesh","Shri Tejveer Singh (2024-30) (2024-2030)","Elected MP","147000000"
"197","Assam","Shri Terash Gowalla (2026-32) (2026-2032)","Elected MP","49000000"
"198","Tamil Nadu","Shri Tiruchi Siva (2026-32) (2026-2032)","Elected MP","49356476.5"
"199","Maharashtra","Shri Ujjwal Deorao Nikam (2025-31) (2025-2031)","Nominated MP","73500000"
"200","Bihar","Shri Upendra Kushwaha (2026-32) (2026-2032)","Elected MP","49000000"
"201","Andhra Pradesh","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","196063957.11"
"202","Andhra Pradesh","Shri Vijay Chintakayala (2026-32) (2026-2032)","Elected MP","49000000"
"203","Maharashtra","Shri Vinod Shridhar Tawde (2026-32) (2026-2032)","Elected MP","49000000"
"204","Madhya Pradesh","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","220563957.11"
"205","Andhra Pradesh","Shri Yerram Venkata Subba Reddy (2024-30) (2024-2030)","Elected MP","147000000"
"206","Manipur","Smt. Adhikarimayum Sharda Devi (2026-32) (2026-2032)","Elected MP","49000000"
"207","Uttar Pradesh","Smt. Darshana Singh (2022-28) (2022-2028)","Elected MP","196994373.87"
"208","Uttar Pradesh","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","196063957.11"
"209","Uttar Pradesh","Smt. Jaya Amitabh Bachchan (2024-30) (2024-2030)","Elected MP","147000000"
"210","Kerala","Smt. Jebi Mather Hisham (2022-28) (2022-2028)","Elected MP","220563957.11"
"211","Chhattisgarh","Smt. Laxmi Verma (2026-32) (2026-2032)","Elected MP","49000000"
"212","Jharkhand","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","232524001.2"
"213","West Bengal","Smt. Mamata Thakur (2024-30) (2024-2030)","Elected MP","147000000"
"214","Maharashtra","Smt. Maya Chintaman Ivnate (2026-32) (2026-2032)","Elected MP","49000000"
"215","Madhya Pradesh","Smt. Maya Naroliya (2024-30) (2024-2030)","Elected MP","147000000"
"216","Karnataka","Smt. Nirmala Sitharaman (2022-28) (2022-2028)","Elected MP","215972051.45"
"217","Kerala","Smt. P. T. Usha (2022-28) (2022-2028)","Nominated MP","196063957.11"
"218","Chhattisgarh","Smt. Phulo Devi Netam (2026-32) (2026-2032)","Elected MP","49000000"
"219","Tamil Nadu","Smt. Rajathi (2025-31) (2025-2031)","Elected MP","89248285.42"
"220","Chhattisgarh","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","246780257.87"
"221","Haryana","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","98000000"
"222","Telangana","Smt. Renuka Chowdhury (2024-30) (2024-2030)","Elected MP","147000000"
"223","Nagaland","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","206563957.11"
"224","Uttar Pradesh","Smt. Sadhna Singh (2024-30) (2024-2030)","Elected MP","147000000"
"225","West Bengal","Smt. Sagarika Ghose (2024-30) (2024-2030)","Elected MP","147000000"
"226","Uttar Pradesh","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","196063957.11"
"227","Uttar Pradesh","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","173830159.11"
"228","Rajasthan","Smt. Sonia Gandhi (2024-30) (2024-2030)","Elected MP","147000000"
"229","Karnataka","Smt. Sudha Murty (2024-30) (2024-2030)","Nominated MP","147000000"
"230","Odisha","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","196084721.4"
"231","Madhya Pradesh","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","196063957.11"
"Grand Total"," "," "," ","33,63,84,82,301.82"
