Sr. No.,State,Work,Work ID,IDA,Hon'ble Members of Parliament,Constituency,Expenditure Date,Vendor Name,Payment Status,Fund Disbursed Amount ( ₹ )
21408,Arunachal Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP313/2025-2026/225942,EAST SIANG(Deputy Commisioner East Siang_IDA),Shri Tapir Gao,ARUNACHAL EAST,21-Nov-25,Ms Siang Youth Enterprises,Payment Success,910000
21409,Punjab,Construction of rooms and halls in school and colleges,WS/MP380/2025-2026/192936,LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA),Shri Amar Singh,FATEHGARH SAHIB(SC),18-Nov-25,SHINGARA SINGH,Payment Success,7200
21410,Himachal Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18069/2025-2026/239790,KANGRA(DEPUTY COMMISSIONER KANGRA_IDA),RAJEEV BHARDWAJ,KANGRA,08-Apr-26,HPSCSC KANDRORI,Payment Success,168800
21411,Himachal Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18069/2025-2026/211896,KANGRA(DEPUTY COMMISSIONER KANGRA_IDA),RAJEEV BHARDWAJ,KANGRA,28-Mar-26,HPSCSC KANDRORI,Payment Success,67520
21412,Himachal Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18069/2025-2026/211898,KANGRA(DEPUTY COMMISSIONER KANGRA_IDA),RAJEEV BHARDWAJ,KANGRA,28-Mar-26,HPSCSC KANDRORI,Payment Success,67520
21413,Himachal Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18069/2024-2025/165778,KANGRA(DEPUTY COMMISSIONER KANGRA_IDA),RAJEEV BHARDWAJ,KANGRA,02-Jan-26,HPSCSC KANDRORI,Payment Success,16880
21414,Himachal Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18069/2024-2025/165742,KANGRA(DEPUTY COMMISSIONER KANGRA_IDA),RAJEEV BHARDWAJ,KANGRA,23-Dec-25,HPSCSC KANDRORI,Payment Success,30384
21415,Himachal Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18069/2024-2025/165746,KANGRA(DEPUTY COMMISSIONER KANGRA_IDA),RAJEEV BHARDWAJ,KANGRA,18-Nov-25,HPSCSC KANDRORI,Payment Success,41356
21416,Punjab,Construction of rooms and halls in school and colleges,WS/MP380/2025-2026/192936,LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA),Shri Amar Singh,FATEHGARH SAHIB(SC),18-Nov-25,RAJWINDER BAWA,Payment Success,13688
21417,Himachal Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18069/2025-2026/211898,KANGRA(DEPUTY COMMISSIONER KANGRA_IDA),RAJEEV BHARDWAJ,KANGRA,06-Apr-26,JAI SACHIDANAND HARDWARE,Payment Success,84196
21418,Himachal Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18069/2025-2026/211896,KANGRA(DEPUTY COMMISSIONER KANGRA_IDA),RAJEEV BHARDWAJ,KANGRA,24-Aug-26,JAI SACHIDANAND HARDWARE,Payment Success,48284
21419,Himachal Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18069/2025-2026/211896,KANGRA(DEPUTY COMMISSIONER KANGRA_IDA),RAJEEV BHARDWAJ,KANGRA,23-Apr-26,JAI SACHIDANAND HARDWARE,Payment Success,83796
21420,Himachal Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18069/2024-2025/165742,KANGRA(DEPUTY COMMISSIONER KANGRA_IDA),RAJEEV BHARDWAJ,KANGRA,24-Feb-26,MANIK DHIMAN,Payment Success,84036
21421,Himachal Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18069/2024-2025/165746,KANGRA(DEPUTY COMMISSIONER KANGRA_IDA),RAJEEV BHARDWAJ,KANGRA,23-Dec-25,MANIK DHIMAN,Payment Success,75019
21422,Himachal Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18069/2024-2025/165742,KANGRA(DEPUTY COMMISSIONER KANGRA_IDA),RAJEEV BHARDWAJ,KANGRA,27-Jan-26,MANIK DHIMAN,Payment Success,57782
21423,Himachal Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18069/2024-2025/165746,KANGRA(DEPUTY COMMISSIONER KANGRA_IDA),RAJEEV BHARDWAJ,KANGRA,22-Nov-25,MANIK DHIMAN,Payment Success,81925
21424,Punjab,Construction of boundary walls of existing public and community buildings,WS/MP380/2025-2026/199110,LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA),Shri Amar Singh,FATEHGARH SAHIB(SC),17-Nov-25,karamjit building material,Payment Success,1785
21425,Uttarakhand,Construction of common work sheds/ common covered sitting area,WS/MP478/2025-2026/154248,DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA),Mala Rajya Laxmi Shah,TEHRI GARHWAL,19-Nov-25,Anil Eet Udyog,Payment Success,90501
21426,Punjab,Construction of boundary walls of existing public and community buildings,WS/MP380/2025-2026/199110,LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA),Shri Amar Singh,FATEHGARH SAHIB(SC),17-Nov-25,asian brick klin,Payment Success,75000
21427,Uttar Pradesh,Lighting of public spaces,WS/MP18236/2025-2026/207811,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,84910
21428,Uttar Pradesh,Lighting of public spaces,WS/MP18236/2025-2026/207810,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,113214
21429,Uttar Pradesh,Lighting of public spaces,WS/MP18236/2025-2026/207808,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,87000
21430,Uttar Pradesh,Lighting of public spaces,WS/MP18236/2025-2026/207805,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,87000
21431,Uttar Pradesh,Lighting of public spaces,WS/MP18236/2025-2026/207809,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,87000
21432,Uttar Pradesh,Lighting of public spaces,WS/MP18236/2025-2026/207806,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,14152
21433,Uttar Pradesh,Lighting of public spaces,WS/MP18236/2025-2026/207807,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,14152
21434,Uttar Pradesh,Lighting of public spaces,WS/MP18236/2025-2026/207803,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,87000
21435,Uttar Pradesh,Lighting of public spaces,WS/MP18236/2025-2026/207381,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,87000
21436,Uttar Pradesh,Lighting of public spaces,WS/MP18236/2025-2026/207378,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,14152
21437,Uttar Pradesh,Lighting of public spaces,WS/MP18236/2025-2026/207379,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,87000
21438,Uttar Pradesh,Lighting of public spaces,WS/MP18236/2025-2026/207380,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,87000
21439,Uttar Pradesh,Lighting of public spaces,WS/MP18236/2025-2026/207804,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,87000
21440,Uttar Pradesh,Lighting of public spaces,WS/MP18236/2025-2026/214176,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,169821
21441,Uttar Pradesh,Lighting of public spaces,WS/MP18236/2025-2026/214177,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,169821
21442,Uttar Pradesh,Lighting of public spaces,WS/MP18236/2025-2026/205566,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,141517
21443,Uttar Pradesh,Lighting of public spaces,WS/MP18236/2025-2026/205574,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,87000
21444,Uttar Pradesh,Lighting of public spaces,WS/MP18236/2025-2026/205573,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,87000
21445,Uttar Pradesh,Lighting of public spaces,WS/MP18236/2025-2026/205572,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,87000
21446,Uttar Pradesh,Lighting of public spaces,WS/MP18236/2025-2026/205571,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,87000
21447,Uttar Pradesh,Lighting of public spaces,WS/MP18236/2025-2026/205564,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,198124
21448,Uttar Pradesh,Lighting of public spaces,WS/MP18236/2025-2026/205570,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,155669
21449,Uttar Pradesh,Lighting of public spaces,WS/MP18236/2025-2026/205569,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,198124
21450,Uttar Pradesh,Lighting of public spaces,WS/MP18236/2025-2026/205568,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,141517
21451,Uttar Pradesh,Lighting of public spaces,WS/MP18236/2025-2026/205567,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,155669
21452,Uttar Pradesh,Lighting of public spaces,WS/MP18236/2025-2026/205576,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,87000
21453,Uttar Pradesh,Lighting of public spaces,WS/MP18236/2025-2026/205575,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,87000
21454,Uttar Pradesh,Lighting of public spaces,WS/MP18236/2025-2026/207352,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,14152
21455,Uttar Pradesh,Lighting of public spaces,WS/MP18236/2025-2026/207354,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,14152
21456,Uttar Pradesh,Lighting of public spaces,WS/MP18236/2025-2026/207353,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,14152
21457,Uttar Pradesh,Lighting of public spaces,WS/MP18236/2025-2026/207355,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,14152
21458,Uttar Pradesh,Lighting of public spaces,WS/MP18236/2025-2026/207364,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,14152
21459,Uttar Pradesh,Lighting of public spaces,WS/MP18236/2025-2026/207365,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,14152
21460,Uttar Pradesh,Lighting of public spaces,WS/MP18236/2025-2026/207370,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,14152
21461,Uttar Pradesh,Lighting of public spaces,WS/MP18236/2025-2026/207371,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,14152
21462,Uttar Pradesh,Lighting of public spaces,WS/MP18236/2025-2026/207372,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,14152
21463,Uttar Pradesh,Lighting of public spaces,WS/MP18236/2025-2026/207373,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,14152
21464,Uttar Pradesh,Lighting of public spaces,WS/MP18236/2025-2026/207374,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,14152
21465,Uttar Pradesh,Lighting of public spaces,WS/MP18236/2025-2026/207375,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,14152
21466,Uttar Pradesh,Lighting of public spaces,WS/MP18236/2025-2026/207376,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,14152
21467,Uttar Pradesh,Lighting of public spaces,WS/MP18236/2025-2026/207377,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,14152
21468,Uttar Pradesh,Lighting of public spaces,WS/MP18236/2025-2026/207368,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,14152
21469,Uttar Pradesh,Lighting of public spaces,WS/MP18236/2025-2026/207367,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,14152
21470,Uttar Pradesh,Lighting of public spaces,WS/MP18236/2025-2026/205581,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,87000
21471,Uttar Pradesh,Lighting of public spaces,WS/MP18236/2025-2026/205580,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,87000
21472,Uttar Pradesh,Lighting of public spaces,WS/MP18236/2025-2026/205579,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,87000
21473,Uttar Pradesh,Lighting of public spaces,WS/MP18236/2025-2026/205578,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,14152
21474,Uttar Pradesh,Lighting of public spaces,WS/MP18236/2025-2026/205577,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,87000
21475,Uttar Pradesh,Installing community drinking water plants,WS/MP18236/2025-2026/199364,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,178000
21476,Uttar Pradesh,Installing community drinking water plants,WS/MP18236/2025-2026/204704,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,240000
21477,Uttar Pradesh,Installing community drinking water plants,WS/MP18236/2025-2026/204707,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,240000
21478,Uttar Pradesh,Lighting of public spaces,WS/MP18236/2025-2026/205565,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,226428
21479,Uttar Pradesh,Installing community drinking water plants,WS/MP18236/2025-2026/204701,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,330000
21480,Uttar Pradesh,Installing community drinking water plants,WS/MP18236/2025-2026/204706,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,240000
21481,Uttar Pradesh,Installing community drinking water plants,WS/MP18236/2025-2026/204703,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,240000
21482,Uttar Pradesh,Installing community drinking water plants,WS/MP18236/2025-2026/204705,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,240000
21483,Uttar Pradesh,Installing community drinking water plants,WS/MP18236/2025-2026/204702,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,240000
21484,Uttar Pradesh,Installing community drinking water plants,WS/MP18236/2025-2026/199362,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,178000
21485,Uttar Pradesh,Installing community drinking water plants,WS/MP18236/2025-2026/199361,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,178000
21486,Uttar Pradesh,Installing community drinking water plants,WS/MP18236/2025-2026/199368,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,178000
21487,Uttar Pradesh,Installing community drinking water plants,WS/MP18236/2025-2026/199367,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,178000
21488,Uttar Pradesh,Installing community drinking water plants,WS/MP18236/2025-2026/199366,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,178000
21489,Uttar Pradesh,Lighting of public spaces,WS/MP18236/2025-2026/207369,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),28-Nov-25,UP STATE AGRO,Payment Success,14152
21490,Uttar Pradesh,Construction of rooms and halls in school and colleges,WS/MP18236/2025-2026/202807,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),17-Jul-26,UP STATE AGRO,Payment Success,240000
21491,Uttar Pradesh,Construction of rooms and halls in school and colleges,WS/MP18236/2025-2026/202807,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),31-Dec-25,UP STATE AGRO,Payment Success,360000
21492,Uttar Pradesh,Installing hand pumps,WS/MP18390/2026-2027/268437,GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA),AFZAL ANSARI,GHAZIPUR,01-Jul-26,UP STATE AGRO,Payment Success,213376
21493,Uttar Pradesh,Installing hand pumps,WS/MP18390/2026-2027/268435,GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA),AFZAL ANSARI,GHAZIPUR,01-Jul-26,UP STATE AGRO,Payment Success,554779
21494,Uttar Pradesh,Installing hand pumps,WS/MP18390/2026-2027/268439,GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA),AFZAL ANSARI,GHAZIPUR,01-Jul-26,UP STATE AGRO,Payment Success,298727
21495,Uttar Pradesh,Installing hand pumps,WS/MP18390/2026-2027/268438,GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA),AFZAL ANSARI,GHAZIPUR,01-Jul-26,UP STATE AGRO,Payment Success,512104
21496,Uttar Pradesh,Installing hand pumps,WS/MP18390/2026-2027/270177,GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA),AFZAL ANSARI,GHAZIPUR,01-Jul-26,UP STATE AGRO,Payment Success,85350
21497,Uttar Pradesh,Installing hand pumps,WS/MP18390/2026-2027/270178,GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA),AFZAL ANSARI,GHAZIPUR,01-Jul-26,UP STATE AGRO,Payment Success,42675
21498,Uttar Pradesh,Installing hand pumps,WS/MP18390/2026-2027/270179,GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA),AFZAL ANSARI,GHAZIPUR,01-Jul-26,UP STATE AGRO,Payment Success,85350
21499,Uttar Pradesh,Installing hand pumps,WS/MP18390/2026-2027/270180,GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA),AFZAL ANSARI,GHAZIPUR,01-Jul-26,UP STATE AGRO,Payment Success,85350
21500,Uttar Pradesh,Installing hand pumps,WS/MP18390/2025-2026/176194,GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA),AFZAL ANSARI,GHAZIPUR,25-Mar-26,UP STATE AGRO,Payment Success,558900
21501,Uttar Pradesh,Installing hand pumps,WS/MP18390/2026-2027/268436,GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA),AFZAL ANSARI,GHAZIPUR,03-Jul-26,UP STATE AGRO,Payment Success,213376
21502,Uttar Pradesh,Installing hand pumps,WS/MP18390/2025-2026/200668,GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA),AFZAL ANSARI,GHAZIPUR,06-Dec-25,UP STATE AGRO,Payment Success,470218
21503,Uttar Pradesh,Installing hand pumps,WS/MP18390/2025-2026/200667,GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA),AFZAL ANSARI,GHAZIPUR,06-Dec-25,UP STATE AGRO,Payment Success,726359
21504,Uttar Pradesh,Installing hand pumps,WS/MP18390/2025-2026/200672,GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA),AFZAL ANSARI,GHAZIPUR,06-Dec-25,UP STATE AGRO,Payment Success,1153629
21505,Uttar Pradesh,Installing hand pumps,WS/MP18390/2025-2026/200671,GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA),AFZAL ANSARI,GHAZIPUR,06-Dec-25,UP STATE AGRO,Payment Success,42727
21506,Uttar Pradesh,Installing hand pumps,WS/MP18390/2025-2026/200670,GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA),AFZAL ANSARI,GHAZIPUR,06-Dec-25,UP STATE AGRO,Payment Success,512724
21507,Uttar Pradesh,Installing hand pumps,WS/MP18390/2025-2026/200669,GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA),AFZAL ANSARI,GHAZIPUR,06-Dec-25,UP STATE AGRO,Payment Success,598178
21508,Uttar Pradesh,Installing hand pumps,WS/MP18390/2025-2026/176195,GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA),AFZAL ANSARI,GHAZIPUR,18-Dec-25,UP STATE AGRO,Payment Success,791628
21509,Uttar Pradesh,Installing hand pumps,WS/MP18390/2025-2026/176193,GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA),AFZAL ANSARI,GHAZIPUR,18-Dec-25,UP STATE AGRO,Payment Success,931327
21510,Uttar Pradesh,Installing hand pumps,WS/MP18390/2025-2026/176192,GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA),AFZAL ANSARI,GHAZIPUR,18-Dec-25,UP STATE AGRO,Payment Success,791628
21511,Uttar Pradesh,Installing hand pumps,WS/MP18390/2025-2026/176191,GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA),AFZAL ANSARI,GHAZIPUR,18-Dec-25,UP STATE AGRO,Payment Success,838194
21512,Punjab,Construction of boundary walls of existing public and community buildings,WS/MP380/2025-2026/199110,LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA),Shri Amar Singh,FATEHGARH SAHIB(SC),17-Nov-25,sehaj building mterial,Payment Success,43155
21513,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/169993,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,06-Dec-25,Advent Infomax Pvt Ltd,Payment Success,19989
21514,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/170660,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,06-Dec-25,Advent Infomax Pvt Ltd,Payment Success,19989
21515,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/170661,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,06-Dec-25,Advent Infomax Pvt Ltd,Payment Success,19989
21516,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/170659,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,06-Dec-25,Advent Infomax Pvt Ltd,Payment Success,19989
21517,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/169991,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,05-Dec-25,Advent Infomax Pvt Ltd,Payment Success,19989
